id,title,price,google_product_category,identifier_exists,brand,custom_label_0,custom_label_1,custom_label_2
1566,"Vparfum Isola Blu 50 мл, парфум, бергамот, лаванда, лайм, лимон",900.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1567,"Vparfum Isola Blu 10 мл тестер, парфум, бергамот, лаванда, лайм, лимон",270.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1568,"Vparfum Imagination 125мл, ароматизатор для авто Vparfum, калабрійський бергамот, сицилійський апельсин, цитрон",625.00 UAH,2789,no,Vparfum,,car_parfum,fougere
1569,"Vparfum Imagination 100 мл, фужерний парфум, калабрійський бергамот, сицилійський апельсин, цитрон",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,fougere
1570,"Vparfum Imagination 50 мл, фужерний парфум, калабрійський бергамот, сицилійський апельсин, цитрон",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,fougere
1571,"Vparfum Imagination 10 мл тестер, фужерний парфум, калабрійський бергамот, сицилійський апельсин, цитрон",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,fougere
1572,"Vparfum Guidance 125мл, ароматизатор для авто Vparfum, груша, лісовий горіх, олібанум",625.00 UAH,2789,no,Vparfum,,car_parfum,floral
1573,"Vparfum Guidance 100 мл, квітковий парфум, груша, лісовий горіх, олібанум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,floral
1574,"Vparfum Guidance 50 мл, квітковий парфум, груша, лісовий горіх, олібанум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,floral
1575,"Vparfum Guidance 10 мл тестер, квітковий парфум, груша, лісовий горіх, олібанум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,floral
1576,"Vparfum Matsukita 100 мл, парфум, бергамот, мускатний горіх, рожевий перець",1700.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1578,"Vparfum Matsukita 50 мл, парфум, бергамот, мускатний горіх, рожевий перець",900.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1579,"Vparfum Matsukita 10 мл тестер, парфум, бергамот, мускатний горіх, рожевий перець",270.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1580,"Vparfum Matsukita 125мл, ароматизатор для авто Vparfum, бергамот, мускатний горіх, рожевий перець",725.00 UAH,2789,no,Vparfum,,car_parfum,other
1581,"Vparfum Libre 125мл, ароматизатор для авто Vparfum, лаванда, петітгрейн, танжерин, чорна смородина",625.00 UAH,2789,no,Vparfum,,car_parfum,floral
1582,"Vparfum Libre 100 мл, квітковий парфум, лаванда, петітгрейн, танжерин, чорна смородина",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,floral
1583,"Vparfum Libre 50 мл, квітковий парфум, лаванда, петітгрейн, танжерин, чорна смородина",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,floral
1584,"Vparfum Libre 10 мл тестер, квітковий парфум, лаванда, петітгрейн, танжерин, чорна смородина",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,floral
1585,"Vparfum Aldebaran 125мл, ароматизатор для авто Vparfum, тубероза",725.00 UAH,2789,no,Vparfum,,car_parfum,floral
1586,"Vparfum Aldebaran 100 мл, квітковий парфум, тубероза",1700.00 UAH,479,no,Vparfum,100ml,personal_parfum,floral
1587,"Vparfum Aldebaran 50 мл, квітковий парфум, тубероза",900.00 UAH,479,no,Vparfum,50ml,personal_parfum,floral
1588,"Vparfum Aldebaran 10 мл тестер, квітковий парфум, тубероза",270.00 UAH,479,no,Vparfum,10ml,personal_parfum,floral
1589,"Vparfum Prives Rehab 125мл, ароматизатор для авто Vparfum, бергамот, лаванда",625.00 UAH,2789,no,Vparfum,,car_parfum,derevynni
1590,"Vparfum Rehab 100 мл, деревинні парфум, бергамот, лаванда",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,derevynni
1591,"Vparfum Rehab 50 мл, деревинні парфум, бергамот, лаванда",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,derevynni
1592,"Vparfum Rehab 10 мл тестер, деревинні парфум, бергамот, лаванда",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,derevynni
1593,"Vparfum Tygar 125мл, ароматизатор для авто Vparfum, грейпфрут",625.00 UAH,2789,no,Vparfum,,car_parfum,amber
1594,"Vparfum Tygar 100 мл, амбровий парфум, грейпфрут",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,amber
1595,"Vparfum Tygar 50 мл, амбровий парфум, грейпфрут",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,amber
1596,"Vparfum Tygar 10 мл тестер, амбровий парфум, грейпфрут",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,amber
1597,"Vparfum Musk Therapy 125мл, ароматизатор для авто Vparfum, магнолія, чорна смородина",625.00 UAH,2789,no,Vparfum,,car_parfum,derevynni
1598,"Vparfum Musk Therapy 100 мл, деревинні парфум, магнолія, чорна смородина",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,derevynni
1599,"Vparfum Musk Therapy 50 мл, деревинні парфум, магнолія, чорна смородина",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,derevynni
1600,"Vparfum Musk Therapy 10 мл тестер, деревинні парфум, магнолія, чорна смородина",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,derevynni
1601,"Vparfum Bibliothèque 125мл, ароматизатор для авто Vparfum",625.00 UAH,2789,no,Vparfum,,car_parfum,other
1602,"Vparfum Bibliothèque 100 мл, парфум",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,other
1603,"Vparfum Bibliothèque 50 мл, парфум",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,other
1604,"Vparfum Bibliothèque 10 мл тестер, парфум",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,other
1605,"Vparfum Le Male Ultra Male 125мл, ароматизатор для авто Vparfum, груша, бергамот, лимон, мята",625.00 UAH,2789,no,Vparfum,,car_parfum,oriental
1606,"Vparfum Le Male Ultra Male 100 мл, східний парфум, груша, бергамот, лимон, мята",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,oriental
1607,"Vparfum Le Male Ultra Male 50 мл, східний парфум, груша, бергамот, лимон, мята",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,oriental
1608,"Vparfum Le Male Ultra Male 10 мл тестер, східний парфум, груша, бергамот, лимон, мята",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,oriental
1609,"Vparfum Oligarch 125мл, ароматизатор для авто Vparfum, бергамот, лаванда, лайм, лимон",625.00 UAH,2789,no,Vparfum,,car_parfum,spicy
1610,"Vparfum Oligarch 100 мл, пряний парфум, бергамот, лаванда, лайм, лимон",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,spicy
1611,"Vparfum Oligarch 50 мл, пряний парфум, бергамот, лаванда, лайм, лимон",800.00 UAH,479,no,Vparfum,50ml,personal_parfum,spicy
1612,"Vparfum Oligarch 10 мл тестер, пряний парфум, бергамот, лаванда, лайм, лимон",230.00 UAH,479,no,Vparfum,10ml,personal_parfum,spicy
1613,"Vparfum Symphony 125 мл, ароматизатор для авто Vparfum, імбир, бергамот, грейпфрут",990.00 UAH,2789,no,Vparfum,125ml,car_parfum,citrus
1614,"Vparfum Symphony 100 мл, цитрусовий парфум, імбир, бергамот, грейпфрут",1600.00 UAH,479,no,Vparfum,100ml,personal_parfum,citrus
1615,"Vparfum Symphony 50 мл, цитрусовий парфум, імбир, бергамот, грейпфрут",850.00 UAH,479,no,Vparfum,50ml,personal_parfum,citrus
1616,"Vparfum Symphony 10 мл тестер, цитрусовий парфум, імбир, бергамот, грейпфрут",260.00 UAH,479,no,Vparfum,10ml,personal_parfum,citrus
1617,"Vparfum Spicebomb Extreme 125 мл, ароматизатор для авто Vparfum, кмин, лаванда",1195.00 UAH,2789,no,Vparfum,125ml,car_parfum,oriental
1618,"Vparfum Spicebomb Extreme 100 мл, східний парфум, кмин, лаванда",1600.00 UAH,479,no,Vparfum,100ml,personal_parfum,oriental
1619,"Vparfum Spicebomb Extreme 50 мл, східний парфум, кмин, лаванда",850.00 UAH,479,no,Vparfum,50ml,personal_parfum,oriental
1620,"Vparfum Spicebomb Extreme 10 мл тестер, східний парфум, кмин, лаванда",260.00 UAH,479,no,Vparfum,10ml,personal_parfum,oriental
1621,"Vparfum Delphinus 100 мл, амбровий парфум, ладан, мигдаль, рожевий перець",1500.00 UAH,479,no,Vparfum,100ml,personal_parfum,amber
